province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
SB;SM;DBTC;21;8220.750;2354486
SB;SM;DBTC;22;8277.205;2813635
SB;SM;DBTC;23;8214.102;2637949
SB;SM;DBTC;24;9159.595;4627114
SB;SM;DBTC;25;11097.445;4925445
SB;SM;DBTC;26;9263.595;2798712
SB;SM;DBTC;27;9840.529;3107975
SB;SM;DBTC;28;11735.222;4709195
SB;SM;DBTC;29;9434.703;2872537
SB;SM;DBTC;30;9805.945;2931656
SB;SM;DBTC;31;11938.002;3393868
SB;SM;DBTC;32;11530.471;3253033
SB;SM;DBTC;33;10533.696;2963562
SB;SM;DBTC;34;10560.399;2991282
SB;SM;DBTC;35;10197.303;3000945
SB;SM;DBTC;36;11183.314;3318950
SB;SM;CRDC;1;79.508;12748
SB;SM;CRDC;2;82.148;12001
SB;SM;CRDC;3;85.968;12010
SB;SM;CRDC;4;60.243;9267
SB;SM;CRDC;5;49.661;14753
SB;SM;CRDC;6;55.750;16341
SB;SM;CRDC;7;59.919;17616
SB;SM;CRDC;8;57.370;19037
SB;SM;CRDC;9;54.947;18752
SB;SM;CRDC;10;66.138;23448
SB;SM;CRDC;11;72.743;26808
SB;SM;CRDC;12;72.935;26888
SB;SM;CRDC;13;66.426;25102
SB;SM;CRDC;14;51.290;18002
SB;SM;CRDC;15;58.127;23949
SB;SM;CRDC;16;64.762;28983
SB;SM;CRDC;17;65.388;29967
SB;SM;CRDC;18;56.733;57972
SB;SM;CRDC;19;62.138;75651
SB;SM;CRDC;20;68.915;119908
SB;SM;CRDC;21;175.817;10439
SB;SM;CRDC;22;184.101;11150
SB;SM;CRDC;23;201.750;11851
SB;SM;CRDC;24;222.821;12459
SB;SM;CRDC;25;63.498;14697
SB;SM;CRDC;26;54.529;12145
SB;SM;CRDC;27;51.123;10505
SB;SM;CRDC;28;68.004;12854
SB;SM;CRDC;29;64.440;13678
SB;SM;CRDC;30;71.656;14389
SB;SM;CRDC;31;69.489;15175
SB;SM;CRDC;32;73.564;15591
SB;SM;CRDC;33;72.973;15020
SB;SM;CRDC;34;71.259;15932
SB;SM;CRDC;35;77.769;16825
SB;SM;CRDC;36;67.645;14339
SB;SM;SCLR;1;1711.142;13
SB;SM;SCLR;2;1472.540;12
SB;SM;SCLR;3;1587.831;12
SB;SM;SCLR;4;1404.140;9
SB;SM;SCLR;5;1148.507;15
SB;SM;SCLR;6;1434.285;16
SB;SM;SCLR;7;1506.996;18
SB;SM;SCLR;8;1433.523;19
SB;SM;SCLR;9;1569.974;19
SB;SM;SCLR;10;1386.624;23
SB;SM;SCLR;11;1616.584;27
SB;SM;SCLR;12;1808.759;27
SB;SM;SCLR;13;1522.954;25
SB;SM;SCLR;14;1416.258;18
SB;SM;SCLR;15;1731.056;24
SB;SM;SCLR;16;1625.875;29
SB;SM;SCLR;17;1390.721;30
SB;SM;SCLR;18;1615.609;58
SB;SM;SCLR;19;1580.177;76
SB;SM;SCLR;20;1579.827;120
SB;SM;SCLR;21;1694.800;10
SB;SM;SCLR;22;1637.006;11
SB;SM;SCLR;23;1740.399;12
SB;SM;SCLR;24;2062.802;12
SB;SM;SCLR;25;1565.483;15
SB;SM;SCLR;26;1358.767;12
SB;SM;SCLR;27;1818.589;11
SB;SM;SCLR;28;1615.893;13
SB;SM;SCLR;29;1289.522;14
SB;SM;SCLR;30;1421.306;14
SB;SM;SCLR;31;1141.358;15
SB;SM;SCLR;32;1227.681;16
SB;SM;SCLR;33;1063.828;15
SB;SM;SCLR;34;1020.801;16
SB;SM;SCLR;35;1055.842;17
SB;SM;SCLR;36;1222.216;14
SB;SM;RTGS;1;7082.037;976
SB;SM;RTGS;2;4224.208;856
SB;SM;RTGS;3;4424.137;977
SB;SM;RTGS;4;3916.402;905
SB;SM;RTGS;5;5000.767;803
SB;SM;RTGS;6;4342.084;1051
SB;SM;RTGS;7;5310.989;1093
SB;SM;RTGS;8;6878.043;996
SB;SM;RTGS;9;7668.148;679
SB;SM;RTGS;10;6041.414;600
SB;SM;RTGS;11;6644.631;738
SB;SM;RTGS;12;10496.143;699
SB;SM;RTGS;13;7621.605;641
SB;SM;RTGS;14;5997.898;634
SB;SM;RTGS;15;6551.579;744
SB;SM;RTGS;16;7151.724;733
SB;SM;RTGS;17;6158.244;628
SB;SM;RTGS;18;5972.657;721
SB;SM;RTGS;19;5845.458;689
SB;SM;RTGS;20;6807.529;763
SB;SM;RTGS;21;6767.209;839
SB;SM;RTGS;22;5986.991;809
SB;SM;RTGS;23;6043.202;897
SB;SM;RTGS;24;10330.161;1207
SB;SM;RTGS;25;5904.640;764
