stock_ticker;company_name;initial_stock_listing
EPMT;ENSEVAL PUTERA MEGATRADING;1994-08-01
ENVY;ENVY TECHNOLOGIES INDONESIA;2019-07-08
GSMF;EQUITY DEVELOPMENT INVESTMENT;1989-10-23
AWAN;ERA DIGITAL MEDIA;2023-04-18
IPAC;ERA GRAHAREALTY;2021-06-30
IKAN;ERA MANDIRI CEMERLANG;2020-02-12
DOOH;ERA MEDIA SEJAHTERA;2023-05-08
ERAA;ERAJAYA SWASEMBADA;2011-12-14
ERTX;ERATEX DJAJA;1990-08-21
ESTA;ESTA MULTI USAHA;2020-03-09
EURO;ESTEE GOLD FEET;2022-08-08
BEEF;ESTIKA TATA TIARA;2019-01-10
ETWA;ETERINDO WAHANATAMA;1997-05-16
LCGP;EUREKA PRIMA JAKARTA;2007-07-13
ESTI;EVER SHINE TEXTILE INDUSTRY;1992-10-13
CNKO;EXPLOITASI ENERGI INDONESIA;2001-11-20
TAXI;EXPRESS TRANSINDO UTAMA;2012-11-02
FASW;FAJAR SURYA WISESA;1994-12-19
FLMC;FALMACO NONWOVEN INDUSTRI;2021-07-08
PRAY;FAMON AWAL BROS SEDAYA;2022-11-08
FAPA;FAP AGRI;2021-01-04
FAST;FAST FOOD INDONESIA;1993-05-11
FIMP;FIMPERKASA UTAMA;2021-04-09
KBLV;FIRST MEDIA;2000-02-25
AISA;FKS FOOD SEJAHTERA;1997-06-11
FISH;FKS MULTI AGRO;2002-01-18
BOBA;FORMOSA INGREDIENT FACTORY;2021-11-01
FORU;FORTUNE INDONESIA;2002-01-17
FMII;FORTUNE MATE INDONESIA;2000-06-30
FORZ;FORZA LAND INDONESIA;2017-04-28
FUJI;FUJI FINANCE INDONESIA;2019-07-09
GJTL;GAJAH TUNGGAL;1990-05-08
GLVA;GALVA TECHNOLOGIES;2019-12-23
GTBO;GARDA TUJUH BUANA;2009-07-09
GIAA;GARUDA INDONESIA;2011-02-11
GMFI;GARUDA MAINTENANCE FACILITY AERO ASIA;2017-10-10
BOLT;GARUDA METALINDO;2015-07-07
GOOD;GARUDAFOOD PUTRA PUTRI JAYA;2018-10-10
SLIS;GAYA ABADI SEMPURNA;2019-10-07
GEMA;GEMA GRAHASARANA;2002-08-12
GPSO;GEOPRIMA SOLUSI;2021-09-06
GHON;GIHON TELEKOMUNIKASI INDONESIA;2018-04-09
WOWS;GINTING JAYA ENERGI;2019-11-08
BELI;GLOBAL DIGITAL NIAGA;2022-11-08
BMTR;GLOBAL MEDIACOM;1995-07-17
RUNS;GLOBAL SUKSES SOLUSI;2021-09-08
GLOB;GLOBE KITA TERANG;2012-07-10
SMMT;GOLDEN EAGLE ENERGY;1997-12-01
GEMS;GOLDEN ENERGY MINES;2011-11-17
POLU;GOLDEN FLOWER;2019-06-26
GOLL;GOLDEN PLANTATION;2014-12-23
GDYR;GOODYEAR INDONESIA;1980-12-22
GOTO;GOTO GOJEK TOKOPEDIA;2022-04-11
GMTD;GOWA MAKASSAR TOURISM DEVELOPMENT;2000-12-11
GZCO;GOZCO PLANTATIONS;2008-05-15
JGLE;GRAHA ANDRASENTRA PROPERTINDO;2016-06-29
BLTZ;GRAHA LAYAR PRIMA;2014-04-10
GTRA;GRAHAPRIMA SUKSESMANDIRI;2023-03-30
HOMI;GRAND HOUSE MULIA;2020-09-10
KRAH;GRAND KARTECH;2013-11-08
GWSA;GREENWOOD SEJAHTERA;2011-12-23
GTSI;GTS INTERNASIONAL;2021-09-08
GGRM;GUDANG GARAM;1990-08-27
TRUK;GUNA TIMUR RAYA;2018-05-23
GDST;GUNAWAN DIANJAYA STEEL;2009-12-23
GGRP;GUNUNG RAJA PAKSI;2019-09-19
HATM;HABCO TRANS MARITIMA;2022-07-26
HALO;HALONI JANE;2023-02-08
MYRX;HANSON INTERNATIONAL;1990-10-31
HOPE;HARAPAN DUTA PERTIWI;2021-05-24
HRTA;HARTADINATA ABADI;2017-06-21
HRUM;HARUM ENERGY;2010-10-06
HAIS;HASNUR INTERNASIONAL SHIPPING;2021-09-01
NAYZ;HASSANA BOGA SEJAHTERA;2023-02-06
WINE;HATTEN BALI;2023-01-10
HDIT;HENSEL DAVEST INDONESIA;2019-07-12
HERO;HERO SUPERMARKET;1989-08-21
MEDS;HETZER MEDICAL INDONESIA;2022-08-10
HEXA;HEXINDO ADIPERKASA;1995-02-13
HILL;HILLCON;2023-03-01
HADE;HIMALAYA ENERGI PERKASA;2004-04-12
HKMU;HK METALS UTAMA;2018-10-09
HMSP;HM SAMPOERNA;1990-08-15
KING;HOFFMEN CLEANINDO;2023-02-16
FITT;HOTEL FITRA INTERNATIONAL;2019-06-11
HOME;HOTEL MANDARINE REGENCY;2008-07-17
SHID;HOTEL SAHID JAYA;1990-05-08
HITS;HUMPUSS INTERMODA TRANSPORTASI;1997-12-15
KARW;ICTSI JASA PRIMA;1994-12-20
IDEA;IDEA INDONESIA AKADEMI;2021-09-09
IFSH;IFISHDECO;2019-12-05
LFLO;IMAGO MULIA PERSADA;2021-04-07
PSSI;IMC PELITA LOGISTIK;2017-12-05
IMPC;IMPACK PRATAMA INDUSTRI;2014-12-17
INKP;INDAH KIAT PULP & PAPER;1990-07-16
INPS;INDAH PRAKASA SENTOSA;2018-04-06
INAI;INDAL ALUMINIUM INDUSTRY;1994-12-05
INDY;INDIKA ENERGY;2008-06-11
SRSN;INDO ACIDATAMA;1993-01-11
IBOS;INDO BOGA SUKSES;2022-04-25
INCF;INDO KOMODITI KORPORA;2016-09-06
BRAM;INDO KORDSA;1990-09-05
OILS;INDO OIL PERKASA;2021-09-06
IPPE;INDO PURECO PRATAMA;2021-12-09
PTIS;INDO STRAITS;2011-07-12
ITMG;INDO TAMBANGRAYA MEGAH;2007-12-18
INTP;INDOCEMENT TUNGGAL PRAKARSA;1989-12-05
INAF;INDOFARMA;2001-04-17
ICBP;INDOFOOD CBP SUKSES MAKMUR;2010-10-07
INDF;INDOFOOD SUKSES MAKMUR;1994-07-14
EDGE;INDOINTERNET;2021-02-08
IMJS;INDOMOBIL MULTI JASA;2013-12-10
IMAS;INDOMOBIL SUKSES INTERNASIONAL;1993-11-15
IFII;INDONESIA FIBREBOARD INDUSTRY;2019-12-10
IPCC;INDONESIA KENDARAAN TERMINAL;2018-07-09
IDPR;INDONESIA PONDASI RAYA;2015-12-10
OMRE;INDONESIA PRIMA PROPERTY;1994-08-22
INPP;INDONESIAN PARADISE PROPERTY;2004-01-12
ITIC;INDONESIAN TOBACCO;2019-07-04
IPOL;INDOPOLY SWAKARSA INDUSTRY;2010-07-09
INDR;INDO-RAMA SYNTHETICS;1990-08-03
DNET;INDORITEL MAKMUR INTERNASIONAL;2000-12-11
ISAT;INDOSAT;1994-10-19
INDS;INDOSPRING;1990-08-10
TECH;INDOSTERLING TECHNOMEDIA;2020-06-04
CARS;INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA;2017-04-10
SIDO;INDUSTRI JAMU DAN FARMASI SIDO MUNCUL;2013-12-18
JATI;INFORMASI TEKNOLOGI INDONESIA;2023-05-08
INOV;INOCYCLE TECHNOLOGY GROUP;2019-07-10
IBFN;INTAN BARU PRANA;2014-12-22
INCI;INTANWIJAYA INTERNASIONAL;1990-07-24
WOOD;INTEGRA INDOCABINET;2017-06-21
INTD;INTER-DELTA;1989-12-18
MDIA;INTERMEDIA CAPITAL;2014-04-11
IIKP;INTI AGRI RESOURCES;2002-10-14
IBST;INTI BANGUN SEJAHTERA;2012-08-31
IKAI;INTIKERAMIK ALAMASRI INDUSTRI;1997-06-04
DILD;INTILAND DEVELOPMENT;1991-09-04
INTA;INTRACO PENTA;1993-08-23
ICON;ISLAND CONCES INDONESIA;2005-07-08
ISAP;ISRA PRESISI INDONESIA;2022-12-09
IRRA;ITAMA RANORAYA;2019-10-15
PSAB;J RESOURCES ASIA PASIFIK;2003-04-22
JIHD;JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT;1984-02-29
JKSW;JAKARTA KYOEI STEEL WORKS;1997-08-06
JSPT;JAKARTA SETIABUDI INTERNASIONAL;1998-01-12
JPFA;JAPFA COMFEED INDONESIA;1989-10-23
IPCM;JASA ARMADA INDONESIA;2017-12-22
LAJU;JASA BERDIKARI LOGISTICS;2023-01-27
JSMR;JASA MARGA;2007-11-12
JAST;JASNITA TELEKOMINDO;2019-05-16
JTPE;JASUINDO TIGA PERKASA;2002-04-16
JAWA;JAYA AGRA WATTIE;2011-05-30
DUCK;JAYA BERSAMA INDO;2018-10-10
JKON;JAYA KONSTRUKSI MANGGALA PRATAMA;2007-12-04
JRPT;JAYA REAL PROPERTY;1994-06-29
RISE;JAYA SUKSES MAKMUR SENTOSA;2018-07-09
TAYS;JAYA SWARASA AGUNG;2021-12-06
HELI;JAYA TRISHINDO;2018-03-27
OMED;JAYAMAS MEDICA INDUSTRI;2022-11-08
JECC;JEMBO CABLE COMPANY;1992-11-18
JARR;JHONLIN AGRO RAYA;2022-08-04
BEER;JOBUBU JARUM MINAHASA;2023-01-06
KBLM;KABELINDO MURNI;1992-06-01
KLBF;KALBE FARMA;1991-07-30
ZINC;KAPUAS PRIMA COAL;2017-10-16
KBAG;KARYA BERSAMA ANUGERAH;2020-04-08
KIJA;KAWASAN INDUSTRI JABABEKA;1995-01-10
TIFA;KDB TIFA FINANCE;2011-07-08
KICI;KEDAUNG INDAH CAN;1993-10-28
KDSI;KEDAWUNG SETIA INDUSTRIAL;1996-07-29
RSGK;KEDOYA ADYARAYA;2021-09-08
KEEN;KENCANA ENERGI LESTARI;2019-09-02
KIAS;KERAMIKA INDONESIA ASSOSIASI;1994-12-08
KBRI;KERTAS BASUKI RACHMAT INDONESIA;2008-07-11
KETR;KETROSDEN TRIASMITRA;2021-01-11
KAEF;KIMIA FARMA;2001-07-04
TYRE;KING TIRE INDONESIA;2023-05-08
KINO;KINO INDONESIA;2015-12-11
KIOS;KIOSON KOMERSIAL INDONESIA;2017-10-05
KMTR;KIRANA MEGATARA;2017-06-19
KLIN;KLINKO KARYA IMAJI;2022-08-09
KBLI;KMI WIRE AND CABLE;1992-07-06
KOBX;KOBEXINDO TRACTORS;2012-07-05
KOIN;KOKOH INTI AREBAMA;2008-04-09
SATU;KOTA SATU PROPERTI;2018-11-05
KRAS;KRAKATAU STEEL;2010-11-10
KREN;KRESNA GRAHA INVESTAMA;2002-06-28
KJEN;KRIDA JARINGAN NUSANTARA;2019-07-01
BBSI;KROM BANK INDONESIA;2020-09-07
KMDS;KURNIAMITRA DUTA SENTOSA;2020-09-07
KKES;KUSUMA KEMINDO SENTOSA;2022-08-08
LABA;LADANGBAJA MURNI;2021-06-10
TAMA;LANCARTAMA SEJATI;2020-02-10
LMPI;LANGGENG MAKMUR INDUSTRI;1994-10-17
LTLS;LAUTAN LUAS;1997-07-21
BMBL;LAVENDER BINA CENDIKIA;2023-01-11
LCKM;LCK GLOBAL KEDATON;2018-01-16
LPPS;LENOX PASIFIK INVESTAMA;1994-03-28
LAPD;LEYAND INTERNATIONAL;2001-07-17
LUCY;LIMA DUA LIMA TIGA;2021-05-05
LMAS;LIMAS INDONESIA MAKMUR;2001-12-28
FUTR;LINI IMAJI KREASI EKOSISTEM;2023-02-27
LINK;LINK NET;2014-06-02
LION;LION METAL WORKS;1993-08-20
LMSH;LIONMESH PRIMA;1990-06-04
LPCK;LIPPO CIKARANG;1997-07-24
LPGI;LIPPO GENERAL INSURANCE;1997-07-22
LPKR;LIPPO KARAWACI;1996-06-28
LEAD;LOGINDO SAMUDRAMAKMUR;2013-12-11
FPNI;LOTTE CHEMICAL TITAN;2002-03-21
MCAS;M CASH INTEGRASI;2017-11-01
MOLI;MADUSARI MURNI INDAH;2018-08-30
MGNA;MAGNA INVESTAMA MANDIRI;2014-07-08
MPRO;MAHA PROPERTI INDONESIA;2018-10-09
ABBA;MAHAKA MEDIA;2002-04-03
MARI;MAHAKA RADIO INTEGRA;2016-02-11
OASA;MAHARAKSA BIRU ENERGI;2016-07-18
MGRO;MAHKOTA GROUP;2018-07-12
AMAN;MAKMUR BERKAH AMANDA;2020-03-13
MTWI;MALACCA TRUST WUWUNGAN INSURANCE;2017-10-12
MAIN;MALINDO FEEDMILL;2006-02-10
MFIN;MANDALA MULTIFINANCE;2005-09-06
TCID;MANDOM INDONESIA;1993-09-30
MAPA;MAP AKTIF ADIPERKASA;2018-07-05
MAPB;MAP BOGA ADIPERKASA;2017-06-21
